Gene,Degree
DRG1,10
COL11A1,10
CHD1L,10
SMG5,10
ATP1A2,10
TRIM22,10
SENP2,10
FTSJ1,10
PPFIA3,9
PRKCI,9
PIK3C2A,9
DNAJA4,9
IL1RAP,9
LRPAP1,9
COL14A1,9
STX17,9
CHMP2B,9
TOMM22,9
NUMA1,9
MAP3K14,9
IRF4,9
ASNS,9
GUSB,9
APOC1,9
STXBP1,9
PDE3A,9
PPFIA2,9
HLA-DOB,9
CEL,9
CYP11A1,9
IFNGR2,9
CYP2C18,9
MIS12,9
SLC11A2,9
NOLC1,9
CYBRD1,9
PQBP1,9
RPS6KA1,9
PARN,9
CPSF4,9
PEBP1,9
SERPINE2,9
RYK,9
BRMS1,9
BCKDHA,9
PDGFD,9
EPS8,9
EDEM1,9
DBI,9
PPP3CC,9
HAP1,9
ACTR1A,9
MYO1C,9
YTHDF2,9
DERL1,9
CD3EAP,9
SMG7,9
PHF10,9
BRD9,9
C1QA,9
YTHDF3,9
DNAJB6,9
PPA1,9
SGCE,9
TOR1A,9
XRCC2,9
ATP1B3,9
MITF,9
DGKA,9
TNFRSF25,9
SIN3B,9
TNFSF10,9
TIE1,9
CLNS1A,9
TMOD1,9
LMNB2,9
BRD2,9
SHANK1,9
ATP1B2,9
SLC25A5,9
NDUFB11,9
RPN2,9
GRP,9
DMC1,9
POU2F1,9
AKR1A1,9
GK,9
SRPK1,9
HSPA14,9
LRP8,9
RECQL,9
PAK2,9
OTC,9
CAD,9
COX8A,9
ARNTL,9
COX7A2,9
CAPN1,9
EPHA5,9
PER2,9
PPFIA1,8
LBR,8
PNKP,8
STX6,8
SLC6A4,8
TTF2,8
CNTNAP2,8
SAP30L,8
ISL1,8
STAG3,8
METTL1,8
CPS1,8
GYS2,8
PGM1,8
DYNC2H1,8
APOL1,8
LIN7A,8
PEX14,8
CENPO,8
IRF5,8
SAMD9,8
SULT1E1,8
ITGB3BP,8
CENPQ,8
TAP2,8
LIFR,8
PLSCR1,8
DPYSL3,8
DPYSL2,8
DOCK1,8
KCND3,8
GLA,8
PTPN2,8
OXTR,8
SFRP4,8
MAF,8
LMOD1,8
PRKCQ,8
VBP1,8
ABCG2,8
CALCOCO2,8
CD24,8
CHGA,8
MYBPC3,8
CNOT7,8
CACNA2D3,8
KRT7,8
IL18R1,8
EPHA7,8
JAG1,8
THRA,8
HEY1,8
SCD,8
FBLN5,8
CDH10,8
LMO2,8
SRP72,8
YTHDF1,8
CYP27B1,8
MYO3A,8
ATG3,8
ADD1,8
STIM1,8
GEMIN6,8
GEMIN7,8
FXYD1,8
RRAGA,8
PARP12,8
IPO9,8
DIAPH3,8
AK5,8
CCDC47,8
ANGPT4,8
SENP5,8
ARHGEF12,8
GRHPR,8
KCNH2,8
MEIS1,8
DGKE,8
MTX1,8
SPHK1,8
USP13,8
PPL,8
DCTN3,8
EDNRA,8
FGF21,8
ATP6V1D,8
ATP4A,8
FAF1,8
CHPT1,8
RHEB,8
LDB2,8
ARC,8
ADCYAP1,8
ATF5,8
TAF5L,8
LAPTM5,8
MYL4,8
PDHA1,8
BCL7B,8
KIFC3,8
SH3PXD2A,8
ADPGK,8
NR3C2,8
FDX1,8
ANP32E,8
CSTF2T,8
SH3GL2,7
RELN,7
RAB35,7
PEG10,7
PLAGL1,7
GNAZ,7
SOCS5,7
PCYOX1,7
MEST,7
RGS11,7
RGS19,7
MBTPS1,7
ATP6V0B,7
PPP1R15A,7
SSBP3,7
CPEB3,7
TACC1,7
CAPN3,7
ABI2,7
PSAT1,7
STS,7
PROS1,7
ALDH3B1,7
SCNN1B,7
SCN8A,7
EPHB6,7
MIF,7
NEFH,7
SNAP91,7
MEIS2,7
COPS3,7
RUNX1T1,7
JAM3,7
MFAP4,7
SLC22A8,7
HSD17B1,7
TFR2,7
POLR3C,7
ALDH1A2,7
XPO4,7
KLKB1,7
PTPRB,7
GIPC1,7
PTN,7
PRPS1,7
RSF1,7
ACADSB,7
LTB,7
PPP4R1,7
LARP7,7
TRAF3IP2,7
TDP1,7
ADM,7
CEP152,7
CTSG,7
EIF4EBP1,7
CASP2,7
BLNK,7
CD53,7
POLR3K,7
GANAB,7
LAMB4,7
DIAPH1,7
SSPN,7
ACVR1B,7
NSFL1C,7
SCN2B,7
LILRB4,7
TRAK1,7
MTF2,7
DGKB,7
KHK,7
TRIB3,7
LRPPRC,7
NDUFA4L2,7
CRLF2,7
ETFB,7
CFH,7
CCR4,7
IL1RN,7
ACTR6,7
MYO7A,7
IFT122,7
MAPKAPK2,7
DNAJA3,7
LARS2,7
MTAP,7
SLC39A1,7
C3AR1,7
RPP25,7
KLHL12,7
RNF146,7
PRKAR2A,7
RPP30,7
ARHGEF2,7
MYO1A,7
PLOD1,7
DR1,7
PFKFB3,7
DHX32,7
RPS6KA2,7
ZZZ3,7
BHMT2,7
LGALS9,7
YOD1,7
PMF1,7
SDS,7
MAML3,7
CRY2,7
HEY2,7
CEP164,7
GDI1,7
EDC4,7
ALCAM,7
VIPR2,7
FCER1A,6
MICB,6
ALOX15B,6
GIT2,6
CRYL1,6
CLASP1,6
MUSK,6
TLR5,6
PIK3C2G,6
BMP6,6
SYCP2,6
HAT1,6
RORB,6
SIGLEC1,6
FCAR,6
CDKN2D,6
HTR2B,6
SUPV3L1,6
MPHOSPH6,6
PLOD3,6
ALOX12,6
CDH3,6
LAP3,6
UBE4A,6
C6orf15,6
GFRA1,6
ACTR5,6
NMI,6
RPS6KA3,6
SS18L1,6
CYBA,6
CALCRL,6
ADD2,6
ATXN1,6
CAND1,6
DKK3,6
INTS7,6
GRK6,6
XPO6,6
WDR59,6
SMAD5,6
SNTG1,6
RAMP1,6
RNASEH1,6
QPRT,6
EVPL,6
PAPPA,6
DHTKD1,6
PLA2G1B,6
SESN1,6
NUP62CL,6
SOD3,6
CAT,6
KALRN,6
TSPO,6
CSTA,6
FOSL2,6
CRYAB,6
RIBC2,6
PRKAR1A,6
DCLRE1A,6
ACADVL,6
TLR6,6
FCHO1,6
CNN1,6
TNFRSF12A,6
GNMT,6
SMARCA1,6
RFWD3,6
SMPD1,6
FLAD1,6
COL11A2,6
SSBP2,6
ZCCHC8,6
TST,6
SNX5,6
KCNJ8,6
ABCC9,6
CPE,6
CNOT6,6
SSR4,6
EFEMP2,6
ACOX2,6
SPRR2B,6
PTGER3,6
SULT2B1,6
BATF,6
TNPO3,6
APLP2,6
NFATC4,6
ABCD1,6
LHX6,6
HDGF,6
RETSAT,6
DLGAP2,6
INPP5F,6
APOBEC3C,6
MCHR1,6
ELP4,6
NTS,6
WDR76,6
TOLLIP,6
GTF3C1,6
FES,6
SNX17,6
HAND2,6
PRELP,6
COPS4,6
TUSC3,6
CRBN,6
ADRA2A,6
MCCC1,6
VAMP8,6
ALDH3B2,6
MADCAM1,6
GABRB3,6
BCL2L2,6
GDI2,6
VPS37B,6
PTPRF,6
MPP1,6
PFDN5,6
NRXN3,6
SLC5A1,5
ABCC8,5
EIF2AK1,5
TFAP2C,5
ABCG1,5
PFKFB1,5
MAP2,5
ULBP2,5
ATP6V1A,5
DCX,5
GFPT2,5
DARS2,5
PTCH2,5
PEX7,5
CDKN2C,5
WASF3,5
MLX,5
ARPC5,5
PHYH,5
CCDC6,5
DLK1,5
MBD4,5
PARG,5
EGLN3,5
CA9,5
NPC1,5
ABCF3,5
MFGE8,5
PAPSS1,5
KCNAB1,5
LCT,5
MAD2L1BP,5
ZNF143,5
PHKG2,5
AHNAK,5
AVPR1A,5
BBS1,5
TULP3,5
DHRS3,5
NUDCD3,5
DYNLT3,5
PLA2G4C,5
LTBP3,5
DSC2,5
THOC1,5
SAP30BP,5
UBE3C,5
MPST,5
APOD,5
CCNK,5
VPS11,5
GLRX2,5
KLF2,5
CLDN16,5
RNF40,5
DPM1,5
TNNT3,5
ABCA1,5
STX8,5
ZFP36L1,5
DDX11,5
NBL1,5
CEBPG,5
APOBEC3B,5
IGFBP7,5
GAS6,5
PPP1R12A,5
KCNJ3,5
FBLN2,5
REXO4,5
SNX27,5
DSC1,5
TMPO,5
LCE2B,5
SPRR1A,5
CDH13,5
CDH6,5
MYL5,5
DNAJB2,5
SEMA6D,5
BMP1,5
VPS37C,5
SNF8,5
SLC18A2,5
KRT8,5
GTPBP8,5
PDE7B,5
CIB1,5
IFT74,5
KLHDC3,5
ARPC1A,5
SAFB,5
KIF3B,5
PTK6,5
CHRD,5
MS4A1,5
EFHC1,5
ADAMTS5,5
GDF11,5
BAZ1A,5
AUP1,5
SLC22A6,5
GBP2,5
NFKBIB,5
MTX2,5
DNAJC11,5
SLC39A14,5
CDH18,5
UBE2A,5
PRAME,5
ACTR1B,5
GNRH1,5
PTMA,5
APLP1,5
CHMP7,5
MBD1,5
RHAG,5
BCHE,5
SERPINF1,5
RASGRP1,5
CDYL,5
S100A4,5
NOL9,5
SDC2,5
OGN,5
FMOD,5
RAMP3,5
APEX2,5
ACVRL1,5
ASPSCR1,5
PNRC2,5
TFPI,5
IMPA2,5
CACYBP,5
MSX1,5
PRKD2,5
PTPRD,5
CREB3L2,5
ATP2A3,5
HSPB6,5
AAK1,5
LHX2,5
BCL2A1,5
NR5A1,5
CD207,5
SPTBN4,5
CAST,5
COPB2,4
MS4A2,4
MERTK,4
KRT19,4
GNPDA1,4
PNPLA4,4
F12,4
HAPLN1,4
CLCN5,4
MTCH1,4
MVP,4
AFTPH,4
AP3M2,4
INPP1,4
BIRC7,4
CTSZ,4
HLCS,4
SERPIND1,4
DAB1,4
SND1,4
FBLN1,4
CNGA1,4
MAP3K2,4
PPM1D,4
HEPH,4
PTGDS,4
CH25H,4
RENBP,4
TAF7L,4
TEC,4
NFKBIE,4
WDR73,4
CNTN2,4
APBB2,4
SPON1,4
SCN7A,4
NPHP4,4
NIT2,4
NSUN5,4
GGH,4
TNFRSF21,4
TFG,4
CCL23,4
KLHL2,4
PEF1,4
TIMM8A,4
HOXB13,4
MAB21L2,4
TREM1,4
SLC2A9,4
REPS1,4
FUT1,4
MMP16,4
PACRG,4
EFHC2,4
C11orf1,4
SLC19A1,4
NFE2L3,4
BLK,4
GALR2,4
MAFF,4
FASTKD3,4
PFN2,4
EGR3,4
SLC3A1,4
GABRA5,4
GABRG3,4
FUBP1,4
FEM1B,4
CER1,4
FRZB,4
IFT57,4
CXXC1,4
RECK,4
RTN1,4
RTN2,4
